t,mode,stimulus,sync,meanB,damage,phi,q_obs,q_status,hcr_L2R,hcr_R2L,q_res,dilatacion,energia,lyapunov,stochastic_noise,topological_collapse,causal_failure,clinical_phase,perm_entropy,betti_1,De,pred1_code,pred1_p,pred2_code,pred2_p,pred3_code,pred3_p,guards_fired,ai_action,ai_reward
143.464035,bio,0.000000,0.607240,8.103409,0.000000,0.607240,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.770441,7.000000,0.937812,0.000000,1.770441,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 21.25,0.000000,21.253393,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
144.049354,bio,0.000000,2.076437,2.544299,0.000000,2.076437,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.770441,7.000000,1.071508,0.000000,1.770441,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 72.68,0.000000,72.675311,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
144.692217,bio,0.000000,2.013085,3.271165,0.000000,2.013085,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.770441,7.000000,1.210843,-0.022606,1.770441,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 70.46,0.000000,70.457974,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
145.230716,bio,0.000000,1.041862,1.006966,0.000000,1.041862,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.918143,7.000000,1.355283,-0.022783,0.918143,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 36.47,0.000000,36.465156,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
145.880848,bio,0.000000,1.570240,1.957132,0.000000,1.570240,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.918143,7.000000,1.504321,-0.022939,0.918143,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 54.96,0.000000,54.958396,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E1,0,0.00
146.482348,bio,0.000000,3.296919,6.303034,0.000000,3.296919,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.918143,7.000000,1.657475,-0.023089,0.918143,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 115.39,0.000000,115.392169,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E1,0,0.00
147.018988,bio,0.000000,2.462784,4.875800,0.000000,2.462784,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.918143,7.000000,1.814285,-0.023247,0.918143,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 86.20,0.000000,86.197431,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E1,0,0.00
147.551937,bio,0.000000,3.178686,5.748593,0.000000,3.178686,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.201806,7.000000,1.974311,-0.023428,0.201806,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 111.25,0.000000,111.254012,0.000000,E5,0.998539,E2,0.001461,E1,0.000000,E1,0,0.00
148.079854,bio,0.000000,2.081613,3.208571,0.000000,2.081613,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.201806,7.000000,2.137130,-0.023649,0.201806,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 72.86,0.000000,72.856465,0.000000,E2,0.977299,E5,0.022701,E1,0.000000,E1,0,0.00
148.611485,bio,0.000000,1.860234,3.665405,0.000000,1.860234,0.000000,ONLINE_RIGETTI,0.656416,0.000000,0.201806,7.000000,2.302324,-0.023933,0.201806,0.320000,9.846239,HOMEOSTASIS | De: 308.54,0.676992,65.108190,308.544253,E2,0.973606,E5,0.026394,E1,0.000000,E1,0,0.00
